time,temperature,load,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
2009-02-18 10:00:00,28,67741,10,18,2,2,0,61810.0,51797.0,40393.0,72228.0,74408.0,67418.0,25.0,28.0,60449.333333333336,46721.833333333336,49744.958333333336,18391.015603039177,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2009-02-18 11:00:00,29,68802,11,18,2,2,0,67741.0,61810.0,51797.0,73949.0,75447.0,69476.0,28.0,29.0,66117.66666666667,53600.333333333336,49530.5,18124.5795753338,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
2009-02-18 12:00:00,30,68360,12,18,2,2,0,68802.0,67741.0,61810.0,73378.0,75365.0,69429.0,29.0,31.0,68301.0,59817.16666666666,49321.41666666666,17864.595158207903,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2009-02-18 13:00:00,32,67798,13,18,2,2,0,68360.0,68802.0,67741.0,73413.0,74409.0,68685.0,30.0,32.0,68320.0,64384.66666666666,49087.458333333336,17569.702865466897,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
2009-02-18 14:00:00,32,69948,14,18,2,2,0,67798.0,68360.0,68802.0,74794.0,74923.0,69690.0,32.0,33.0,68702.0,67409.83333333333,48885.54166666666,17287.001874942747,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2009-02-18 15:00:00,32,69289,15,18,2,2,0,69948.0,67798.0,68360.0,74675.0,71101.0,69082.0,32.0,33.0,69011.66666666667,68656.33333333333,48661.125,16969.699621518463,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434
2009-02-18 16:00:00,32,66064,16,18,2,2,0,69289.0,69948.0,67798.0,71155.0,67466.0,64984.0,32.0,33.0,68433.66666666667,68376.83333333333,48449.0,16706.06754914275,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
2009-02-18 17:00:00,32,55006,17,18,2,2,0,66064.0,69289.0,69948.0,59072.0,56277.0,55828.0,32.0,32.0,63453.0,66077.5,48279.583333333336,16614.018713689933,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2009-02-18 18:00:00,30,50831,18,18,2,2,0,55006.0,66064.0,69289.0,54762.0,51169.0,52280.0,32.0,31.0,57300.333333333336,63156.0,48115.79166666666,16566.64189681535,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
2009-02-18 19:00:00,29,53155,19,18,2,2,0,50831.0,55006.0,66064.0,53694.0,53723.0,54867.0,30.0,29.0,52997.333333333336,60715.5,48093.333333333336,16559.114728140175,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434
2009-02-18 20:00:00,27,51512,20,18,2,2,0,53155.0,50831.0,55006.0,51317.0,51915.0,52699.0,29.0,27.0,51832.66666666666,57642.833333333336,48101.458333333336,16560.81299721188,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2009-02-18 21:00:00,26,42345,21,18,2,2,0,51512.0,53155.0,50831.0,42486.0,43279.0,43838.0,27.0,26.0,49004.0,53152.16666666666,48095.583333333336,16562.916588143402,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434
2009-02-18 22:00:00,25,36165,22,18,2,2,0,42345.0,51512.0,53155.0,36886.0,37245.0,37614.0,26.0,25.0,43340.66666666666,48169.0,48065.54166666666,16584.771873171598,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
2009-02-18 23:00:00,24,33301,23,18,2,2,0,36165.0,42345.0,51512.0,33234.0,33999.0,34671.0,25.0,25.0,37270.333333333336,44551.5,48068.333333333336,16582.172212209145,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434
2009-02-19 00:00:00,24,30641,0,19,2,3,0,33301.0,36165.0,42345.0,30753.0,31602.0,32313.0,24.0,25.0,33369.0,41186.5,48063.66666666666,16587.27205515973,0.0,1.0,0.43388373911755823,-0.900968867902419
2009-02-19 01:00:00,23,28872,1,19,2,3,0,30641.0,33301.0,36165.0,28610.0,30078.0,27110.0,24.0,24.0,30938.0,37139.333333333336,48074.583333333336,16573.993155639568,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419
2009-02-19 02:00:00,23,27630,2,19,2,3,0,28872.0,30641.0,33301.0,27469.0,28676.0,26045.0,23.0,24.0,29047.666666666668,33159.0,48081.29166666666,16565.32073333285,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2009-02-19 03:00:00,22,26882,3,19,2,3,0,27630.0,28872.0,30641.0,27035.0,28184.0,25264.0,23.0,23.0,27794.666666666668,30581.83333333333,48074.91666666666,16573.799611373663,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419
2009-02-19 04:00:00,23,26835,4,19,2,3,0,26882.0,27630.0,28872.0,26866.0,27952.0,25280.0,22.0,23.0,27115.666666666668,29026.83333333333,48073.625,16575.52549580119,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2009-02-19 05:00:00,22,27587,5,19,2,3,0,26835.0,26882.0,27630.0,27531.0,28861.0,26022.0,23.0,23.0,27101.33333333333,28074.5,48075.958333333336,16572.51165262671,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419
2009-02-19 06:00:00,22,30831,6,19,2,3,0,27587.0,26835.0,26882.0,31059.0,33037.0,28820.0,22.0,23.0,28417.666666666668,28106.166666666668,48066.458333333336,16582.752732043624,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2009-02-19 07:00:00,22,39720,7,19,2,3,0,30831.0,27587.0,26835.0,40393.0,42931.0,36473.0,22.0,22.0,32712.666666666668,29914.166666666668,48038.41666666666,16596.855857076618,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2009-02-19 08:00:00,22,51596,8,19,2,3,0,39720.0,30831.0,27587.0,51797.0,56228.0,46440.0,22.0,23.0,40715.66666666666,33908.5,48030.04166666666,16594.927363974162,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2009-02-19 09:00:00,25,61439,9,19,2,3,0,51596.0,39720.0,30831.0,61810.0,66168.0,55395.0,22.0,25.0,50918.333333333336,39668.0,48014.583333333336,16581.70063108243,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419
2009-02-19 10:00:00,28,66611,10,19,2,3,0,61439.0,51596.0,39720.0,67741.0,72228.0,60570.0,25.0,28.0,59882.0,46297.333333333336,47967.5,16524.759154990235,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2009-02-19 11:00:00,29,68323,11,19,2,3,0,66611.0,61439.0,51596.0,68802.0,73949.0,62465.0,28.0,29.0,65457.66666666666,53086.66666666666,47947.54166666666,16498.77034674733,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419
2009-02-19 12:00:00,30,67529,12,19,2,3,0,68323.0,66611.0,61439.0,68360.0,73378.0,62605.0,29.0,30.0,67487.66666666667,59203.0,47912.91666666666,16454.88299382826,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2009-02-19 13:00:00,31,66979,13,19,2,3,0,67529.0,68323.0,66611.0,67798.0,73413.0,62489.0,30.0,32.0,67610.33333333333,63746.16666666666,47878.79166666666,16412.646311753295,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419
2009-02-19 14:00:00,31,68142,14,19,2,3,0,66979.0,67529.0,68323.0,69948.0,74794.0,62911.0,31.0,32.0,67550.0,66503.83333333333,47803.54166666666,16310.88701498415,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2009-02-19 15:00:00,32,67673,15,19,2,3,0,68142.0,66979.0,67529.0,69289.0,74675.0,62221.0,31.0,32.0,67598.0,67542.83333333333,47736.208333333336,16221.426321727406,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419
2009-02-19 16:00:00,32,64335,16,19,2,3,0,67673.0,68142.0,66979.0,66064.0,71155.0,59352.0,32.0,32.0,66716.66666666667,67163.5,47664.16666666666,16140.126651263903,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
2009-02-19 17:00:00,31,54747,17,19,2,3,0,64335.0,67673.0,68142.0,55006.0,59072.0,51066.0,32.0,32.0,62251.66666666666,64900.833333333336,47653.375,16135.09009908013,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2009-02-19 18:00:00,30,50384,18,19,2,3,0,54747.0,64335.0,67673.0,50831.0,54762.0,47536.0,31.0,30.0,56488.66666666666,62043.333333333336,47634.75,16131.520231467948,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
2009-02-19 19:00:00,28,52312,19,19,2,3,0,50384.0,54747.0,64335.0,53155.0,53694.0,50752.0,30.0,29.0,52481.0,59598.833333333336,47599.625,16119.891346630497,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419
2009-02-19 20:00:00,27,51011,20,19,2,3,0,52312.0,50384.0,54747.0,51512.0,51317.0,49049.0,28.0,27.0,51235.66666666666,56743.66666666666,47578.75,16114.928232380727,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2009-02-19 21:00:00,26,41608,21,19,2,3,0,51011.0,52312.0,50384.0,42345.0,42486.0,40333.0,27.0,26.0,48310.333333333336,52399.5,47548.04166666666,16126.033581917896,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419
2009-02-19 22:00:00,25,35828,22,19,2,3,0,41608.0,51011.0,52312.0,36165.0,36886.0,34079.0,26.0,25.0,42815.66666666666,47648.333333333336,47534.0,16136.519567091576,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
2009-02-19 23:00:00,25,32838,23,19,2,3,0,35828.0,41608.0,51011.0,33301.0,33234.0,30936.0,25.0,24.0,36758.0,43996.833333333336,47514.708333333336,16154.542046660365,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419
2009-02-20 00:00:00,25,30247,0,20,2,4,0,32838.0,35828.0,41608.0,30641.0,30753.0,28906.0,25.0,24.0,32971.0,40640.66666666666,47498.29166666666,16172.625167989092,0.0,1.0,-0.433883739117558,-0.9009688679024191
2009-02-20 01:00:00,24,28768,1,20,2,4,0,30247.0,32838.0,35828.0,28872.0,28610.0,27701.0,25.0,23.0,30617.666666666668,36716.66666666666,47493.958333333336,16177.846023334165,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2009-02-20 02:00:00,24,27751,2,20,2,4,0,28768.0,30247.0,32838.0,27630.0,27469.0,26745.0,24.0,23.0,28922.0,32840.0,47499.0,16171.40403949807,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2009-02-20 03:00:00,24,27026,3,20,2,4,0,27751.0,28768.0,30247.0,26882.0,27035.0,25826.0,24.0,22.0,27848.33333333333,30409.666666666668,47505.0,16163.44678319084,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191
2009-02-20 04:00:00,23,27023,4,20,2,4,0,27026.0,27751.0,28768.0,26835.0,26866.0,25655.0,24.0,23.0,27266.666666666668,28942.166666666668,47512.833333333336,16153.036092774992,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2009-02-20 05:00:00,23,27578,5,20,2,4,0,27023.0,27026.0,27751.0,27587.0,27531.0,26605.0,23.0,22.0,27209.0,28065.5,47512.458333333336,16153.51888970098,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191
2009-02-20 06:00:00,23,30604,6,20,2,4,0,27578.0,27023.0,27026.0,30831.0,31059.0,29336.0,23.0,22.0,28401.666666666668,28125.0,47503.0,16163.774220258,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2009-02-20 07:00:00,23,39481,7,20,2,4,0,30604.0,27578.0,27023.0,39720.0,40393.0,36880.0,23.0,22.0,32554.33333333333,29910.5,47493.04166666666,16168.850550630434,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
2009-02-20 08:00:00,23,51222,8,20,2,4,0,39481.0,30604.0,27578.0,51596.0,51797.0,46618.0,23.0,22.0,40435.66666666666,33822.333333333336,47477.458333333336,16164.903988416048,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2009-02-20 09:00:00,25,62297,9,20,2,4,0,51222.0,39481.0,30604.0,61439.0,61810.0,52001.0,23.0,25.0,51000.0,39700.833333333336,47513.208333333336,16198.038364806784,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191
2009-02-20 10:00:00,27,68648,10,20,2,4,0,62297.0,51222.0,39481.0,66611.0,67741.0,57179.0,25.0,28.0,60722.333333333336,46638.333333333336,47598.083333333336,16307.42583561418,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2009-02-20 11:00:00,29,69666,11,20,2,4,0,68648.0,62297.0,51222.0,68323.0,68802.0,59097.0,27.0,29.0,66870.33333333333,53653.0,47654.04166666666,16383.760229540008,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
2009-02-20 12:00:00,30,67505,12,20,2,4,0,69666.0,68648.0,62297.0,67529.0,68360.0,57685.0,29.0,30.0,68606.33333333333,59803.16666666666,47653.04166666666,16382.49508118784,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2009-02-20 13:00:00,32,66178,13,20,2,4,0,67505.0,69666.0,68648.0,66979.0,67798.0,57651.0,30.0,31.0,67783.0,64252.66666666666,47619.66666666666,16342.17805095986,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191
2009-02-20 14:00:00,32,67264,14,20,2,4,0,66178.0,67505.0,69666.0,68142.0,69948.0,64644.0,32.0,31.0,66982.33333333333,66926.33333333333,47583.083333333336,16295.154742429082,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2009-02-20 15:00:00,32,68253,15,20,2,4,0,67264.0,66178.0,67505.0,67673.0,69289.0,68374.0,32.0,32.0,67231.66666666667,67919.0,47607.25,16326.64433758774,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
2009-02-20 16:00:00,31,64764,16,20,2,4,0,68253.0,67264.0,66178.0,64335.0,66064.0,65299.0,32.0,32.0,66760.33333333333,67271.66666666667,47625.125,16345.97814465178,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
2009-02-20 17:00:00,31,54151,17,20,2,4,0,64764.0,68253.0,67264.0,54747.0,55006.0,54291.0,31.0,31.0,62389.333333333336,64685.833333333336,47600.29166666666,16335.137075000528,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
2009-02-20 18:00:00,29,50619,18,20,2,4,0,54151.0,64764.0,68253.0,50384.0,50831.0,49838.0,31.0,30.0,56511.333333333336,61871.5,47610.083333333336,16336.94857601508,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
2009-02-20 19:00:00,28,52294,19,20,2,4,0,50619.0,54151.0,64764.0,52312.0,53155.0,55141.0,29.0,28.0,52354.66666666666,59557.5,47609.333333333336,16336.723746015356,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191
2009-02-20 20:00:00,27,50992,20,20,2,4,0,52294.0,50619.0,54151.0,51011.0,51512.0,53873.0,28.0,27.0,51301.66666666666,56845.5,47608.54166666666,16336.552195930486,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2009-02-20 21:00:00,26,42721,21,20,2,4,0,50992.0,52294.0,50619.0,41608.0,42345.0,43596.0,27.0,26.0,48669.0,52590.16666666666,47654.91666666666,16320.34941259758,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191
2009-02-20 22:00:00,26,38385,22,20,2,4,0,42721.0,50992.0,52294.0,35828.0,36165.0,37573.0,26.0,25.0,44032.66666666666,48193.66666666666,47761.458333333336,16247.970420356998,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
2009-02-20 23:00:00,26,34360,23,20,2,4,0,38385.0,42721.0,50992.0,32838.0,33301.0,34516.0,26.0,25.0,38488.66666666666,44895.16666666666,47824.875,16190.057926991698,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191
2009-02-21 00:00:00,25,31173,0,21,2,5,1,34360.0,38385.0,42721.0,30247.0,30641.0,31565.0,26.0,25.0,34639.333333333336,41654.16666666666,47863.458333333336,16147.393064541286,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2009-02-21 01:00:00,25,29249,1,21,2,5,1,31173.0,34360.0,38385.0,28768.0,28872.0,29939.0,25.0,24.0,31594.0,37813.333333333336,47883.5,16122.941869328251,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
2009-02-21 02:00:00,25,27934,2,21,2,5,1,29249.0,31173.0,34360.0,27751.0,27630.0,28739.0,25.0,24.0,29452.0,33970.333333333336,47891.125,16113.046904571213,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2009-02-21 03:00:00,25,27174,3,21,2,5,1,27934.0,29249.0,31173.0,27026.0,26882.0,27699.0,25.0,24.0,28119.0,31379.166666666668,47897.29166666666,16104.740548317508,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146
2009-02-21 04:00:00,24,26889,4,21,2,5,1,27174.0,27934.0,29249.0,27023.0,26835.0,27560.0,25.0,23.0,27332.33333333333,29463.166666666668,47891.708333333336,16112.313526371698,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
